#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   137    0.39560E+04   -0.43134E+02    0.18392E-05   -0.43134E+02    0.10863E+01   -0.65368E-08    0.18392E-05   -0.65368E-08    0.38567E-11
   138    0.39912E+04   -0.43423E+02    0.18099E-05   -0.43423E+02    0.10867E+01   -0.64480E-08    0.18099E-05   -0.64480E-08    0.37753E-11
   139    0.40262E+04   -0.43691E+02    0.17813E-05   -0.43691E+02    0.10868E+01   -0.63454E-08    0.17813E-05   -0.63454E-08    0.36962E-11
   140    0.40613E+04   -0.43940E+02    0.17533E-05   -0.43940E+02    0.10862E+01   -0.62308E-08    0.17533E-05   -0.62308E-08    0.36191E-11
   141    0.40962E+04   -0.44167E+02    0.17259E-05   -0.44167E+02    0.10851E+01   -0.61064E-08    0.17259E-05   -0.61064E-08    0.35442E-11
   142    0.41310E+04   -0.44373E+02    0.16992E-05   -0.44373E+02    0.10836E+01   -0.59741E-08    0.16992E-05   -0.59741E-08    0.34712E-11
   143    0.41658E+04   -0.44558E+02    0.16730E-05   -0.44558E+02    0.10817E+01   -0.58359E-08    0.16730E-05   -0.58359E-08    0.34002E-11
   144    0.42003E+04   -0.44721E+02    0.16474E-05   -0.44721E+02    0.10792E+01   -0.56938E-08    0.16474E-05   -0.56938E-08    0.33310E-11
   145    0.42347E+04   -0.44861E+02    0.16223E-05   -0.44861E+02    0.10763E+01   -0.55498E-08    0.16223E-05   -0.55498E-08    0.32637E-11
   146    0.42692E+04   -0.44979E+02    0.15977E-05   -0.44979E+02    0.10729E+01   -0.54058E-08    0.15977E-05   -0.54058E-08    0.31981E-11
   147    0.43033E+04   -0.45073E+02    0.15735E-05   -0.45073E+02    0.10691E+01   -0.52639E-08    0.15735E-05   -0.52639E-08    0.31341E-11
   148    0.43372E+04   -0.45145E+02    0.15499E-05   -0.45145E+02    0.10648E+01   -0.51261E-08    0.15499E-05   -0.51261E-08    0.30718E-11
   149    0.43710E+04   -0.45192E+02    0.15267E-05   -0.45192E+02    0.10600E+01   -0.49943E-08    0.15267E-05   -0.49943E-08    0.30110E-11
   150    0.44046E+04   -0.45213E+02    0.15038E-05   -0.45213E+02    0.10549E+01   -0.48705E-08    0.15038E-05   -0.48705E-08    0.29517E-11
   151    0.44379E+04   -0.45211E+02    0.14814E-05   -0.45211E+02    0.10493E+01   -0.47564E-08    0.14814E-05   -0.47564E-08    0.28938E-11
   152    0.44710E+04   -0.45185E+02    0.14594E-05   -0.45185E+02    0.10433E+01   -0.46517E-08    0.14594E-05   -0.46517E-08    0.28372E-11
   153    0.45039E+04   -0.45131E+02    0.14377E-05   -0.45131E+02    0.10368E+01   -0.45559E-08    0.14377E-05   -0.45559E-08    0.27820E-11
   154    0.45366E+04   -0.45053E+02    0.14165E-05   -0.45053E+02    0.10301E+01   -0.44684E-08    0.14165E-05   -0.44684E-08    0.27282E-11
   155    0.45691E+04   -0.44949E+02    0.13955E-05   -0.44949E+02    0.10229E+01   -0.43886E-08    0.13955E-05   -0.43886E-08    0.26756E-11
   156    0.46011E+04   -0.44820E+02    0.13750E-05   -0.44820E+02    0.10154E+01   -0.43161E-08    0.13750E-05   -0.43161E-08    0.26243E-11
   157    0.46331E+04   -0.44663E+02    0.13548E-05   -0.44663E+02    0.10076E+01   -0.42502E-08    0.13548E-05   -0.42502E-08    0.25742E-11
   158    0.46647E+04   -0.44481E+02    0.13350E-05   -0.44481E+02    0.99948E+00   -0.41904E-08    0.13350E-05   -0.41904E-08    0.25253E-11
   159    0.46961E+04   -0.44272E+02    0.13155E-05   -0.44272E+02    0.99095E+00   -0.41360E-08    0.13155E-05   -0.41360E-08    0.24777E-11
   160    0.47272E+04   -0.44036E+02    0.12964E-05   -0.44036E+02    0.98214E+00   -0.40866E-08    0.12964E-05   -0.40866E-08    0.24311E-11
   161    0.47580E+04   -0.43773E+02    0.12776E-05   -0.43773E+02    0.97313E+00   -0.40415E-08    0.12776E-05   -0.40415E-08    0.23857E-11
   162    0.47885E+04   -0.43484E+02    0.12591E-05   -0.43484E+02    0.96379E+00   -0.40002E-08    0.12591E-05   -0.40002E-08    0.23414E-11
   163    0.48189E+04   -0.43167E+02    0.12410E-05   -0.43167E+02    0.95417E+00   -0.39621E-08    0.12410E-05   -0.39621E-08    0.22981E-11
