#    L    TT             EE             BB             TE             PP             TP             EP          
   115    0.31806E+04    0.95739E+00    0.00000E+00   -0.32742E+02    0.85023E-07    0.31206E-03   -0.61001E-06
   116    0.32150E+04    0.96766E+00    0.00000E+00   -0.33341E+02    0.84420E-07    0.30888E-03   -0.61447E-06
   117    0.32498E+04    0.97755E+00    0.00000E+00   -0.33932E+02    0.83823E-07    0.30575E-03   -0.62295E-06
   118    0.32847E+04    0.98720E+00    0.00000E+00   -0.34514E+02    0.83231E-07    0.30268E-03   -0.63492E-06
   119    0.33196E+04    0.99646E+00    0.00000E+00   -0.35086E+02    0.82644E-07    0.29965E-03   -0.64986E-06
   120    0.33547E+04    0.10052E+01    0.00000E+00   -0.35648E+02    0.82063E-07    0.29667E-03   -0.66726E-06
   121    0.33897E+04    0.10137E+01    0.00000E+00   -0.36199E+02    0.81486E-07    0.29374E-03   -0.68659E-06
   122    0.34249E+04    0.10216E+01    0.00000E+00   -0.36739E+02    0.80914E-07    0.29085E-03   -0.70733E-06
   123    0.34601E+04    0.10291E+01    0.00000E+00   -0.37268E+02    0.80348E-07    0.28802E-03   -0.72897E-06
   124    0.34954E+04    0.10363E+01    0.00000E+00   -0.37782E+02    0.79786E-07    0.28523E-03   -0.75097E-06
   125    0.35308E+04    0.10429E+01    0.00000E+00   -0.38285E+02    0.79230E-07    0.28249E-03   -0.77283E-06
   126    0.35662E+04    0.10492E+01    0.00000E+00   -0.38775E+02    0.78678E-07    0.27979E-03   -0.79402E-06
   127    0.36016E+04    0.10549E+01    0.00000E+00   -0.39251E+02    0.78132E-07    0.27714E-03   -0.81402E-06
   128    0.36370E+04    0.10603E+01    0.00000E+00   -0.39713E+02    0.77590E-07    0.27453E-03   -0.83232E-06
   129    0.36724E+04    0.10651E+01    0.00000E+00   -0.40159E+02    0.77054E-07    0.27197E-03   -0.84839E-06
   130    0.37079E+04    0.10694E+01    0.00000E+00   -0.40590E+02    0.76522E-07    0.26945E-03   -0.86172E-06
