#    L    TT             EE             BB             TE          
   220    0.57460E+04    0.94194E+00    0.13864E-01    0.17672E+02
   221    0.57451E+04    0.96997E+00    0.14002E-01    0.19307E+02
   222    0.57436E+04    0.99976E+00    0.14141E-01    0.20952E+02
   223    0.57413E+04    0.10312E+01    0.14280E-01    0.22607E+02
   224    0.57385E+04    0.10643E+01    0.14419E-01    0.24268E+02
   225    0.57351E+04    0.10993E+01    0.14559E-01    0.25938E+02
   226    0.57310E+04    0.11360E+01    0.14699E-01    0.27614E+02
   227    0.57262E+04    0.11746E+01    0.14839E-01    0.29297E+02
   228    0.57209E+04    0.12150E+01    0.14980E-01    0.30985E+02
   229    0.57150E+04    0.12573E+01    0.15121E-01    0.32677E+02
   230    0.57084E+04    0.13014E+01    0.15262E-01    0.34374E+02
   231    0.57011E+04    0.13476E+01    0.15404E-01    0.36075E+02
   232    0.56932E+04    0.13956E+01    0.15545E-01    0.37778E+02
   233    0.56848E+04    0.14457E+01    0.15687E-01    0.39482E+02
   234    0.56756E+04    0.14978E+01    0.15830E-01    0.41187E+02
   235    0.56658E+04    0.15519E+01    0.15972E-01    0.42893E+02
   236    0.56553E+04    0.16081E+01    0.16115E-01    0.44598E+02
   237    0.56443E+04    0.16664E+01    0.16257E-01    0.46301E+02
   238    0.56326E+04    0.17268E+01    0.16400E-01    0.48003E+02
   239    0.56204E+04    0.17893E+01    0.16543E-01    0.49703E+02
   240    0.56074E+04    0.18539E+01    0.16686E-01    0.51398E+02
   241    0.55940E+04    0.19208E+01    0.16829E-01    0.53088E+02
   242    0.55799E+04    0.19898E+01    0.16972E-01    0.54774E+02
   243    0.55653E+04    0.20610E+01    0.17115E-01    0.56454E+02
   244    0.55500E+04    0.21344E+01    0.17259E-01    0.58128E+02
   245    0.55341E+04    0.22101E+01    0.17402E-01    0.59794E+02
   246    0.55177E+04    0.22880E+01    0.17545E-01    0.61452E+02
   247    0.55008E+04    0.23681E+01    0.17688E-01    0.63101E+02
   248    0.54832E+04    0.24508E+01    0.17831E-01    0.64741E+02
   249    0.54652E+04    0.25354E+01    0.17974E-01    0.66370E+02
   250    0.54466E+04    0.26226E+01    0.18117E-01    0.67988E+02
   251    0.54276E+04    0.27119E+01    0.18259E-01    0.69594E+02
   252    0.54078E+04    0.28037E+01    0.18402E-01    0.71188E+02
   253    0.53878E+04    0.28976E+01    0.18544E-01    0.72768E+02
   254    0.53671E+04    0.29939E+01    0.18686E-01    0.74334E+02
   255    0.53459E+04    0.30925E+01    0.18828E-01    0.75886E+02
   256    0.53243E+04    0.31935E+01    0.18970E-01    0.77423E+02
   257    0.53022E+04    0.32967E+01    0.19111E-01    0.78939E+02
   258    0.52796E+04    0.34022E+01    0.19252E-01    0.80445E+02
   259    0.52565E+04    0.35101E+01    0.19393E-01    0.81927E+02
   260    0.52331E+04    0.36203E+01    0.19533E-01    0.83399E+02
   261    0.52091E+04    0.37326E+01    0.19674E-01    0.84839E+02
   262    0.51846E+04    0.38474E+01    0.19813E-01    0.86270E+02
   263    0.51600E+04    0.39644E+01    0.19953E-01    0.87684E+02
   264    0.51348E+04    0.40837E+01    0.20092E-01    0.89073E+02
   265    0.51090E+04    0.42051E+01    0.20231E-01    0.90431E+02
   266    0.50830E+04    0.43290E+01    0.20369E-01    0.91779E+02
